Flight No.,UTC Clock,"Version, Booster",Launch Site,Payload Name,Payload Mass,Payload Type,Payload Orbit,Customer Name,Customer Type,Customer Country,Lauching Outcome,Launching Failure Reason,Landing Outcome,Landing Type,Landing Failure Reason,Description
B4-8,"April 2, 2018 20:30",F9 B4  B1039.2,CCAFS SLC-40,SpaceX CRS-14,"2,647 kg(5,836 lb)",,LEO (ISS),NASA (CRS),,,Success,,No attempt,,,"The launch used a refurbished booster (from CRS-12) and a refurbished capsule (C110 from CRS-8).[277] External payloads include a materials research platform MISSE-FF[280] phase 3 of the Robotic Refueling Mission[281] TSIS,[282] ASIM heliophysics sensor,[181] several crystallization experiments,[283] and the RemoveDEBRIS system aimed at space debris removal.[284] The booster was expended, and SpaceX collected more data on reentry profiles.[285] It also carried the first Costa Rican satellite, Project Irazú,[286] and the first Kenyan satellite, 1KUNS-PF.[287]"
B4-9,"April 18, 2018, 22:51",F9 B4  B1045.1,CCAFS SLC-40,Transiting Exoplanet Survey Satellite (TESS),362 kg(798 lb),,HEO for P/2 orbit,NASA (LSP),,,Success,,Success,drone ship,,"First NASA high-priority science mission launched by SpaceX.  Part of the Explorers program, TESS is space telescope intended for wide-field search of exoplanets transiting nearby stars. It was the first time SpaceX launched a scientific satellite not primarily intended for Earth observations.  The second stage placed the spacecraft into a high elliptical Earth orbit, after which the satellite's own booster is scheduled to perform complex maneuvers, including a lunar flyby, such that over the course of two months it will reach a stable 2:1 resonant orbit with the Moon.[292]  In January 2018, SpaceX received NASA's Launch Services Program Category 2 certification of its Falcon 9 ""Full Thrust"", certification which is required for launching ""medium-risk"" missions like TESS.[293] Last launch of a new Block 4 booster,[294] and the 24th successful recovery of the first stage. An experimental water landing of the launch fairing was performed in order to attempt fairing recovery, primarily as a test of parachute systems.[290][291]"
B5-1,"May 11, 2018, 20:14",F9 B5  B1046.1,KSC LC-39A,Bangabandhu-1,"3,600 kg(7,900 lb)",,GTO,Thales-Alenia/BTRC,,,Success,,Success,drone ship,,"First Block 5 launch vehicle booster to fly. Initially planned for an Ariane 5 launch in December 2017,[301] it became the first Bangladeshi commercial satellite,[302] built by Thales-Alenia.[303][304] It is intended to serve telecom services from 119° E with a lifetime of 15 years.[305]  It was the 25th successfully recovered first stage booster.[300]"
B4-10,"May 22, 2018, 19:47",F9 B4  B1043.2,VAFB SLC-4E,Iridium NEXT-6  (5 satellites) GRACE-FO × 2,"6,460 kg(14,240 lb)",,Polar LEO,Iridium Communications GFZ  • NASA,,,Success,,No attempt ,,,Sixth Iridium NEXT mission launching 5 satellites used the refurbished booster from Zuma. GFZ arranged a rideshare of GRACE-FO on a Falcon 9 with Iridium following the cancellation of their Dnepr launch contract in 2015.[308] Iridium CEO Matt Desch disclosed in September 2017 that GRACE-FO would be launched on this mission.[313] The booster reuse turnaround was a record 4.5 months between flights.[314]
B4-11,"June 4, 2018, 04:45",F9 B4  B1040.2,CCAFS SLC-40,SES-12,"5,384 kg(11,870 lb)",,GTO,SES,,,Success,,No attempt,,,"The communications satellite serving the Middle East and the Asia-Pacific region at the same place as SES-8, and was the largest satellite built for SES.[316] The Block 4 first stage was expended,[317] while the second stage was a Block 5 version, delivering more power towards a higher supersynchronous transfer orbit with 58,000 km (36,000 mi) apogee.[319]"
B4-12,"June 29, 2018 9:42",F9 B4  B1045.2,CCAFS SLC-40,SpaceX CRS-15,"2,697 kg(5,946 lb)",,LEO (ISS),NASA (CRS),,,Success,,No attempt,,,"Payload included MISSE-FF 2, ECOSTRESS, and a Latching End Effector. The refurbished booster featured a record 2.5 months period turnaround from its original launch of the TESS satellite — the fastest previous was 4.5 months. This was the last commercial flight of a Block 4 booster, which was expended into the Atlantic without landing legs and grid fins.[324]"
B5-2,"July 22, 2018 5:50",F9 B5  B1047.1,CCAFS SLC-40,Telstar 19V,"7,075 kg(15,598 lb)",,GTO[328],Telesat,,,Success,,Success,drone ship,,"SSL-manufactured communications satellite intended to be placed at 63° West over the Americas,[330] replacing Telstar 14R.[328] At 7,075 kg, it became the heaviest commercial communications satellite ever launched.[331][332] This necessitated that the satellite be launched into a lower-energy orbit than a usual GTO, with its initial apogee at roughly 17,900 km.[328]"
B5-3,"July 25, 2018 11:39",F9 B5  B1048.1,VAFB SLC-4E,Iridium NEXT-7  (10 satellites),"9,600 kg(21,200 lb)",,Polar LEO,Iridium Communications,,,Success,,Success,drone ship,,"Seventh Iridium NEXT launch, with 10 communication satellites.[336] The booster landed safely on the drone ship in the worst weather conditions for any landing yet attempted.[337][336] Mr. Steven boat with an upgraded 4x size net was used to attempt fairing recovery but failed due to harsh weather.[337][336]"
B5-4,"August 7, 2018,  5:18",F9 B5  B1046.2,CCAFS SLC-40,Merah Putih (formerly Telkom 4),"5,800 kg(12,800 lb)",,GTO,Telkom Indonesia,,,Success,,Success,drone ship,,Indonesian comsat intended to replace the aging Telkom 1 at 108° E.[344] First reflight of a Block 5-version booster.[345]
B5-5,"September 10, 2018 4:45",F9 B5  B1049.1,CCAFS SLC-40,Telstar 18V / Apstar-5C,"7,060 kg(15,560 lb)",,GTO[346],Telesat,,,Success,,Success,drone ship,,"Condosat for 138° East over Asia and Pacific.[347] Delivered to a GTO orbit with apogee close to 18,000 km.[346]"
B5-6,"October 8, 2018 2:22",F9 B5  B1048.2,VAFB SLC-4E,SAOCOM 1A,"3,000 kg(6,600 lb)",,SSO,CONAE,,,Success,,Success,ground pad,,Argentinian Earth-observation satellite was originally intended to be launched in 2012.[352] First use of the West Coast ground pad as landing site.[348]
B5-7,"November 15, 2018 20:46",F9 B5  B1047.2,KSC LC-39A,Es'hail 2,"5,300 kg(11,700 lb)",,GTO,Es'hailSat,,,Success,,Success,drone ship,,Qatari comsat positioned at 26° E.[354] This launch used redesigned COPVs used to store helium to pressurize the stage’s propellant tanks. SpaceX redesigned those COPVs after the September 2016 pad explosion in order to meet NASA safety requirements for future commercial crew missions.[357]
B5-8,"December 3, 2018 18:34:05",F9 B5  B1046.3,VAFB SLC-4E,Spaceflight SSO-A (SmallSat Express),"3,000 kg(6,600 lb)",,SSO,Spaceflight Industries,,,Success,,Success,drone ship,,"Rideshare mission[360] where two SHERPA dispensers deployed 64 small satellites,[361][362] including Eu:CROPIS[363] for the German DLR, HIBER-2 for the Dutch Hiber Global,[364] ITASAT-1 for the Brazilian Instituto Tecnológico de Aeronáutica,[365] two high-resolution SkySat imaging satellites for Planet Labs,[366] and two high school CubeSats part of  NASA's ELaNa 24.[367] Kazakhstan decided to use Falcon 9 to launch their 2 satellites, even with the Baikonur Cosmodrome space launch facility within its own borders. This was the first time a booster was used for a third flight."
B5-9,"December 5, 2018 18:16",F9 B5  B1050.1,CCAFS SLC-40,SpaceX CRS-16,"3,000 kg(6,600 lb)",,LEO (ISS),NASA (CRS),,,Success,,Failure,ground pad,,"First CRS mission with the Falcon 9 Block 5. This carried the Global Ecosystem Dynamics Investigation lidar (GEDI) as an external payload.[369] The mission was delayed by one day due to moldy rodent food for one of the experiments on the Space Station. A previously flown Dragon spacecraft was used for the mission. The booster, in use for the first time, experienced a grid fin hydraulic pump stall on reentry, which caused it to spin out of control and touchdown at sea, heavily damaging the interstage section; this was the first failed landing attempt on a ground pad.[368][370]"
B5-10,"December 23, 2018 13:51",F9 B5  B1054.1,CCAFS SLC-40,GPS IIIA-01,"4,400 kg(9,700 lb)",,MEO,U.S. Air Force,,,Success,,No attempt,,,"Initially planned for a Delta IV launch,[375] this was SpaceX's first launch of an EELV-class payload.[376] There was no attempt to recover the first-stage booster for reuse [377][373] due to the customer's requirements, including a high inclination orbit of 55°.[378]"
